[2m2022-05-25 07:32:33.000[0;39m [33m WARN[0;39m [35m20164[0;39m [2m---[0;39m [2m[l-3 housekeeper][0;39m [36mcom.zaxxer.hikari.pool.HikariPool       [0;39m [2m:[0;39m HikariPool-3 - Thread starvation or clock leap detected (housekeeper delta=8h7m19s321ms954µs300ns).
2022-05-25 11:21:16.275  INFO 19260 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@39a8e2fa testClass = BoardTest, testInstance = com.ssafy.vue.BoardTest@2f9addd4, testMethod = dislikeTest@BoardTest, testException = java.lang.IllegalArgumentException: Result Maps collection does not contain value for com.ssafy.vue.mapper.HouseDealMapper.string, mergedContextConfiguration = [WebMergedContextConfiguration@1c43df76 testClass = BoardTest, locations = '{}', classes = '{class com.ssafy.vue.VueApiApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@32910148, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@fd07cbb, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@236e3f4e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@87a85e1, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@44a7bfbc, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@7823a2f9], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
2022-05-25 11:21:16.276  INFO 19260 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ssafy.vue.VueApiApplicationTests], using SpringBootContextLoader
2022-05-25 11:21:16.277  INFO 19260 --- [           main] o.s.t.c.support.AbstractContextLoader    : Could not detect default resource locations for test class [com.ssafy.vue.VueApiApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-25 11:21:16.277  INFO 19260 --- [           main] t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.ssafy.vue.VueApiApplicationTests]: VueApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-25 11:21:16.278  INFO 19260 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.ssafy.vue.VueApiApplication for test class com.ssafy.vue.VueApiApplicationTests
2022-05-25 11:21:16.279  INFO 19260 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-25 11:21:16.279  INFO 19260 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1a43a88e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@51f34185, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1b8d20e6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e49437, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7645b7d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4c50cd7d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3ea84e01, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1a4930cf, org.springframework.test.context.event.EventPublishingTestExecutionListener@3fd33f48, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@75a226ea, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@986b619, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5a1a20ae, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7c956dda, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@186481d4, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@24eecabf]
[2m2022-05-25 11:21:26.894[0;39m [32m INFO[0;39m [35m22916[0;39m [2m---[0;39m [2m[  restartedMain][0;39m [36mo.s.b.w.embedded.tomcat.TomcatWebServer [0;39m [2m:[0;39m Tomcat initialized with port(s): 9999 (http)
[2m2022-05-25 11:21:26.916[0;39m [32m INFO[0;39m [35m22916[0;39m [2m---[0;39m [2m[  restartedMain][0;39m [36mw.s.c.ServletWebServerApplicationContext[0;39m [2m:[0;39m Root WebApplicationContext: initialization completed in 172 ms
[2m2022-05-25 11:21:27.000[0;39m [32m INFO[0;39m [35m22916[0;39m [2m---[0;39m [2m[  restartedMain][0;39m [36mo.s.b.d.a.OptionalLiveReloadServer      [0;39m [2m:[0;39m LiveReload server is running on port 35729
[2m2022-05-25 11:21:27.024[0;39m [32m INFO[0;39m [35m22916[0;39m [2m---[0;39m [2m[  restartedMain][0;39m [36mo.s.b.w.embedded.tomcat.TomcatWebServer [0;39m [2m:[0;39m Tomcat started on port(s): 9999 (http) with context path '/vue'
[2m2022-05-25 11:21:27.061[0;39m [32m INFO[0;39m [35m22916[0;39m [2m---[0;39m [2m[  restartedMain][0;39m [36m.ConditionEvaluationDeltaLoggingListener[0;39m [2m:[0;39m Condition evaluation unchanged
2022-05-25 11:21:30.933  INFO   --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ssafy.happyhouse.VueBackendApplicationTests], using SpringBootContextLoader
2022-05-25 11:21:30.940  INFO   --- [           main] o.s.t.c.support.AbstractContextLoader    : Could not detect default resource locations for test class [com.ssafy.happyhouse.VueBackendApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-25 11:21:30.941  INFO   --- [           main] t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.ssafy.happyhouse.VueBackendApplicationTests]: VueBackendApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-25 11:21:31.009  INFO   --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.ssafy.happyhouse.VueBackendApplication for test class com.ssafy.happyhouse.VueBackendApplicationTests
2022-05-25 11:21:31.078  INFO   --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-25 11:21:31.088  INFO   --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@102cec62, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@74f6c5d8, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@27912e3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@34b9f960, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@43015c69, org.springframework.test.context.support.DirtiesContextTestExecutionListener@19b89d4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4bbf6d0e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@30b6ffe0, org.springframework.test.context.event.EventPublishingTestExecutionListener@791d1f8b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2415fc55, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@14f232c4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@13bc8645, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@24c22fe, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@93081b6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@cd1e646]
2022-05-25 11:21:31.268  WARN 21000 --- [           main] ory$DuplicateJsonObjectContextCustomizer : 

Found multiple occurrences of org.json.JSONObject on the class path:

	jar:file:/C:/Users/%eb%b0%95%ec%9c%a4%ec%a7%84/.m2/repository/com/vaadin/external/google/android-json/0.0.20131108.vaadin1/android-json-0.0.20131108.vaadin1.jar!/org/json/JSONObject.class
	jar:file:/C:/Users/%eb%b0%95%ec%9c%a4%ec%a7%84/.m2/repository/org/json/json/20220320/json-20220320.jar!/org/json/JSONObject.class

You may wish to exclude one of them to ensure predictable runtime behavior

2022-05-25 11:21:31.790  WARN 21000 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.ssafy.happyhouse]' package. Please check your configuration.
2022-05-25 11:21:33.185  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ssafy.vue.BoardLikeTest], using SpringBootContextLoader
2022-05-25 11:21:33.186  INFO 21000 --- [           main] o.s.t.c.support.AbstractContextLoader    : Could not detect default resource locations for test class [com.ssafy.vue.BoardLikeTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-25 11:21:33.186  INFO 21000 --- [           main] t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.ssafy.vue.BoardLikeTest]: BoardLikeTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-25 11:21:33.191  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.ssafy.vue.VueApiApplication for test class com.ssafy.vue.BoardLikeTest
2022-05-25 11:21:33.192  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-25 11:21:33.193  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@640d604, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@62cbc478, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5438fa43, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@512abf25, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@515ab3f2, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6d0e45a5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7e7740a5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7aa01bd9, org.springframework.test.context.event.EventPublishingTestExecutionListener@7e61e25c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@615db358, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@256bb5be, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5fef0c19, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2e6d76ba, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@22a6d75c, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5a9840f3]
2022-05-25 11:21:33.211  WARN 21000 --- [           main] ory$DuplicateJsonObjectContextCustomizer : 

Found multiple occurrences of org.json.JSONObject on the class path:

	jar:file:/C:/Users/%eb%b0%95%ec%9c%a4%ec%a7%84/.m2/repository/com/vaadin/external/google/android-json/0.0.20131108.vaadin1/android-json-0.0.20131108.vaadin1.jar!/org/json/JSONObject.class
	jar:file:/C:/Users/%eb%b0%95%ec%9c%a4%ec%a7%84/.m2/repository/org/json/json/20220320/json-20220320.jar!/org/json/JSONObject.class

You may wish to exclude one of them to ensure predictable runtime behavior

2022-05-25 11:21:34.203  INFO 21000 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@1f7336b2 testClass = BoardLikeTest, testInstance = com.ssafy.vue.BoardLikeTest@4c030fe1, testMethod = selectTest@BoardLikeTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@347123dc testClass = BoardLikeTest, locations = '{}', classes = '{class com.ssafy.vue.VueApiApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@32910148, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@fd07cbb, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@236e3f4e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@87a85e1, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@44a7bfbc, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@7823a2f9], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.jdbc.support.JdbcTransactionManager@52433946]; rollback [true]
2022-05-25 11:21:34.255  INFO 21000 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@1f7336b2 testClass = BoardLikeTest, testInstance = com.ssafy.vue.BoardLikeTest@4c030fe1, testMethod = selectTest@BoardLikeTest, testException = org.opentest4j.AssertionFailedError: expected: <0> but was: <1>, mergedContextConfiguration = [WebMergedContextConfiguration@347123dc testClass = BoardLikeTest, locations = '{}', classes = '{class com.ssafy.vue.VueApiApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@32910148, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@fd07cbb, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@236e3f4e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@87a85e1, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@44a7bfbc, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@7823a2f9], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
2022-05-25 11:21:34.260  INFO 21000 --- [           main] o.s.t.c.transaction.TransactionContext   : Began transaction (1) for test context [DefaultTestContext@1f7336b2 testClass = BoardLikeTest, testInstance = com.ssafy.vue.BoardLikeTest@271e851e, testMethod = createTest@BoardLikeTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@347123dc testClass = BoardLikeTest, locations = '{}', classes = '{class com.ssafy.vue.VueApiApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@32910148, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@fd07cbb, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@236e3f4e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@87a85e1, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@44a7bfbc, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@7823a2f9], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.jdbc.support.JdbcTransactionManager@52433946]; rollback [true]
2022-05-25 11:21:34.268  INFO 21000 --- [           main] o.s.t.c.transaction.TransactionContext   : Rolled back transaction for test: [DefaultTestContext@1f7336b2 testClass = BoardLikeTest, testInstance = com.ssafy.vue.BoardLikeTest@271e851e, testMethod = createTest@BoardLikeTest, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@347123dc testClass = BoardLikeTest, locations = '{}', classes = '{class com.ssafy.vue.VueApiApplication}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@32910148, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@fd07cbb, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.web.client.TestRestTemplateContextCustomizer@236e3f4e, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@87a85e1, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@44a7bfbc, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@7823a2f9], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.web.ServletTestExecutionListener.activateListener' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.populatedRequestContextHolder' -> true, 'org.springframework.test.context.web.ServletTestExecutionListener.resetRequestContextHolder' -> true, 'org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
2022-05-25 11:21:34.270  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ssafy.vue.aptTest], using SpringBootContextLoader
2022-05-25 11:21:34.271  INFO 21000 --- [           main] o.s.t.c.support.AbstractContextLoader    : Could not detect default resource locations for test class [com.ssafy.vue.aptTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-25 11:21:34.271  INFO 21000 --- [           main] t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.ssafy.vue.aptTest]: aptTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-25 11:21:34.271  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.ssafy.vue.VueApiApplication for test class com.ssafy.vue.aptTest
2022-05-25 11:21:34.272  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-05-25 11:21:34.273  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@12f8682a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6f7a20da, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7752c0e7, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@77ba583, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5613247e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6851b296, org.springframework.test.context.transaction.TransactionalTestExecutionListener@9e50283, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5368e981, org.springframework.test.context.event.EventPublishingTestExecutionListener@1c171746, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@79b7c350, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@586737ff, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4cd7e993, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@685e6a68, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2fb48970, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4e8d9bb6]
2022-05-25 11:21:34.284  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ssafy.vue.JwtServiceImplTest], using SpringBootContextLoader
2022-05-25 11:21:34.285  INFO 21000 --- [           main] o.s.t.c.support.AbstractContextLoader    : Could not detect default resource locations for test class [com.ssafy.vue.JwtServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-05-25 11:21:34.285  INFO 21000 --- [           main] t.c.s.AnnotationConfigContextLoaderUtils : Could not detect default configuration classes for test class [com.ssafy.vue.JwtServiceImplTest]: JwtServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-05-25 11:21:34.286  INFO 21000 --- [           main] .b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.ssafy.vue.VueApiApplication for test class com.ssafy.vue.JwtServiceImplTest
